"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131"
"601828.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"601857.SH",1.7,2,1.9333,2.3077,2.3214,2.3462,2.25,2.1481,2,2,2.0435,2.125,2.0435,2.1667,2.28,2.3333,2.4286,2.35,2.0435,2.0435,1.8696,1.7143,1.7619,1.7143,1.7727,1.7727,1.7727,1.85,1.8947,1.9444,1.875,1.875,1.9474,1.9375,2.0625,2,2.0556,2,2,1.9375,1.8333,1.8333,1.8462,1.8462,1.9286,1.9231,1.9167,1.9167,1.9091,1.9091,1.6667,1.6154,1.5833,1.6429,1.6429,1.6429,1.7333,1.8,1.9286,1.9286,1.9231,1.8462,1.8462,1.6875,1.6667,1.6154,1.6154,1.6154,1.5385,1.5,1.4444,1.4444,1.4444,1.6667,1.8571,1.8182,1.9167,1.9167,1.9167,1.6667,1.6667,1.8333,2.1818,2.2,2.3636,2.3636,2.3636,2.4167,2.2727,2.0909,2.3,2.3,2.4545,2.4545,2.75,2.7778,2.7778,2.7778,2.7778,2.5,2.6667,2.375,2.4286,2.4286,2.5,2.3333,2.5,2.5,2.5,2.4286,2.375,2.375,2.25,2.1429,2.125,2,2,2,2.3333,2.3333,2.3333,2.5
"601858.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2
"601866.SH",2.25,2.2,2.2,2.4286,2.8182,2.8182,2.8,2.8889,3,3.1,3.4286,3.375,3.375,3.375,3.4,3,3.1429,3.3333,3.3333,3.1667,2.8889,2.8462,2.9375,2.9375,2.9444,2.8333,2.6842,2.4667,2.3889,2.2941,2.2,2.125,1.9,1.8947,1.7059,1.7778,1.8636,1.76,1.7273,1.76,1.6667,1.6667,1.68,1.7273,2.2174,2.2083,2.5909,2.619,2.6842,2.6842,2.6,2.2778,2,2,2,2,2.15,2.15,2.1111,2.1176,2.1,2.1,2.1,2.1053,2.1579,2.1667,2.1667,2.1667,2.3333,2.4615,2.4286,2.5,2.5,2.4286,2.6,2.6,2.5455,2.5455,2.5455,2.5,2.5,2.5455,2.3333,2.3333,2.2222,2,2,2,1.8571,1.8333,1.8333,1.8,1.6667,1.6667,1.75,1.75,1.75,1.75,2,1.6667,1.6667,1.75,1.75,1.75,2,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601872.SH",2.8571,2.8333,2.75,2.75,2.75,2.5,2.25,2.3333,2.5,2.5,2.5556,2.6667,2.6667,2.7778,2.875,2.875,2.9,2.8571,2.75,2.75,2.6,2.4545,2.5556,2.2727,2.1667,2.1667,2.1111,2.1111,1.8571,1.8571,2,2,2,2.0625,2,2,2,2,2,2.1,2.6,2.6,2.75,2.9091,2.7692,2.8462,2.8462,2.8462,2.8333,2.8,2.5556,2.5,2,2,2,2.1667,2.4,2.4444,2.3333,2.3333,2.2222,2.2222,2.1667,2.1667,2.1429,2.1429,2.1429,2.1429,2.1429,2.25,2.5,2.5,2.5,2.5,2.5,1.5714,1.5714,1.75,1.75,1.75,1.7778,1.7778,1.6667,1.5,1.5,1.5,1.5,1.5,1.7143,1.8333,1.8333,1.8,1.8333,2,1.6,1.6,1.6,1.6667,1.6667,1.7143,2,2,2,2,2,2,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.25,2.25,2.25,2.25,2.25,2.2,2,2,2,2
"601877.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.75,1.75,1.6,1.6,1.6667,1.6667,1.6667,1.5714,1.75,1.7778,1.5714,1.5714,1.5714,1.5714,1.5,1.5556,1.4545,1.4545,1.5,1.5,1.5,1.5,1.4286,1.4667,1.4,1.4,1.3636,1.3333,1.2857,1.2857,1.3077,1.2857,1.2857,1.2727,1.2857,1.2857,1.2857,1.2857,1.2727,1.2143,1.1111,1.1,1.1,1.0909,1.0769,1,1.1111,1.1111,1.1111,1.1111,1.0909,1.0909,1.1111,1.1111,1.1111,1.1111,1.125,1.125,1,1.1667,1.1667,1.1667,1.1667,1.1667,1.4,1.4,1.4,1.4,1.5,1.4,1.2,1.25,1.25,1.25,1,1,1.3333,1.5,1.5,1.5,1.6,1.6,1.375,1.3333,1.3333,1.2727
"601878.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3333,1.5,1.8333,1.8333,2.1429,2.1429,2.1429,2.1667
"601880.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.3333,2.3333,2.3333,2.3333,2.6667,3,2.6667,2.6667,2.5,2.5,2.5,2.5,2.6667,2.5,2.5,2.5,2.5,2.5,2.3333,2.5,2.5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA
"601881.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6667,1.6,1.5,1.7143,1.625,1.625,1.625,1.6,1.6667,1.6,1.6,1.6,1.6
"601882.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,2
"601886.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1.75,1.8,1.8,1.8,1.8,1.75,1.7143,1.3636,1.3636,1.3636,1.4667,1.4667,1.4667,1.5,1.4667,1.375,1.3077,1.2941,1.25,1.2,1.2143,1.2857,1.2857,1.25,1.3636,1.3636,1.3636,1.3636,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.5,1.5,1.5,NA,1,1,1,1.1667,1.1667,1.1429,1.1429,1.2,1.2,1.3333,1.3333,1.3333,1.3333,1.3333,1.2727,1.2727,1.25,1.25,1,1,1.125,1.2222,1.2222,1.3333,1.25,1.25,1.25,1.25,1.25,1,1,1,1,1,1
"601888.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1667,2,2,1.9286,1.8571,1.9286,1.8125,1.75,1.4706,1.45,1.5,1.5,1.4091,1.381,1.3684,1.35,1.35,1.3333,1.3333,1.3043,1.2727,1.2273,1.2609,1.2727,1.3043,1.2857,1.375,1.3333,1.4348,1.3913,1.375,1.4167,1.4167,1.375,1.3462,1.32,1.3077,1.3333,1.3214,1.3214,1.2917,1.3077,1.3077,1.2593,1.2308,1.2308,1.24,1.2963,1.3077,1.3043,1.2917,1.2609,1.2917,1.2273,1.3333,1.3684,1.35,1.3636,1.4,1.4,1.4167,1.4167,1.4167,1.4,1.4783,1.4545,1.3333,1.3333,1.36,1.36,1.4,1.3846,1.3333,1.3889,1.375,1.2778,1.2,1.25,1.3529,1.3529,1.5,1.5,1.4737,1.5,1.4737,1.5,1.4118,1.4211,1.4667,1.4444,1.4,1.381,1.3913,1.375,1.3846,1.4286,1.4516,1.4333,1.4516,1.4194
"601890.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,1.25,1.25,1.25,1.25,1.4,1.5,1.6667,2,2,2,2,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,1.6,1.6,1.6667,1.6667,1.6667,1.6667,1.6,1.5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601898.SH",NA,NA,1.6667,1.6667,1.8889,1.9231,1.8125,1.85,1.9,1.9048,1.9545,1.95,2.0556,2.1111,2.0714,1.8462,2.0909,2.0909,2.0833,2.0833,1.8421,1.8421,1.95,1.95,1.95,1.8947,1.8182,1.9,1.7778,1.7778,1.875,1.625,1.8333,1.8333,1.8333,1.8333,1.9167,1.9,1.8333,1.9091,2,2,2,1.6667,1.4375,1.5333,1.5,1.5714,1.5455,1.5217,1.5,1.4545,1.4545,1.5,1.5294,1.5833,1.8824,1.9333,2,1.875,1.8824,1.9474,1.8,1.8889,1.9375,2,2,2,2.0667,2.0909,2.1667,2.0769,2.0714,2.1333,2.25,2.4,2.5385,2.6667,2.6923,2.7143,2.7143,2.7333,2.6667,2.6667,2.9286,2.9231,2.8571,2.375,2.375,2.375,2.25,2.25,2.3333,2.4,2.5,2.5,2.4286,2.4286,2.75,2.5556,2.5556,2.5556,2.5,2.2727,2.25,2.1111,2,2,1.9091,2,2,1.7,1.7,1.7,1.6,1.6667,1.8,1.8,1.8571,1.75,1.75,1.75
"601899.SH",NA,NA,NA,NA,NA,2.5,2.2,2.4286,2.3571,2.2,2.2353,2.2353,2.1111,2.1111,1.9231,2.0556,2.0556,2.0556,2,2,2.0952,2,1.875,1.75,1.75,1.8182,1.9048,1.9545,1.95,2,2.1875,2.1765,2.1053,2.125,1.9375,1.9375,1.9333,1.9231,1.9091,1.7778,1.8571,1.75,1.5,1.3333,1.5,1.5385,1.6,1.6875,1.6875,1.6875,1.6923,1.7333,1.7333,1.7692,1.8667,1.8667,2.125,2.0556,2.0769,2.0769,1.9231,1.9167,1.7143,1.8889,2,2.1,2.1,2.1,2.5455,2.5556,2.5714,2.5714,2.5714,2.5,2.5,2.625,2.625,2.625,2.625,2.3333,2,2,2.2857,2.2857,2.2857,2.2857,2.25,2,2.1667,1.1667,1.1667,1.2,1.5,1.5714,1.625,1.7143,1.7143,1.7143,1.5,1.875,2.1,2.1,2.2727,2.2727,2.2727,2.5556,2.625,2.25,2.1111,1.625,1.4,1.5,1.5,1.5,1.5,1.5,1.6667,1.5385,1.4167,1.3846,1.3333,1.2778
"601900.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,1.25,1.2,1.2,1.3333,1.2857,1.3333,1.3333,1.25,1.4,1.4,1.4
"601901.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2.75,2.75,2.75,2.75,2.75,2.75,2.5,2.6667,2.6667,2.6667,2.4,2.4,2.2,2.2,2.2,1.5556,1.5556,1.7778,1.7778,1.6364,1.6364,1.5556,1.5556,1.5,1.6154,1.5,1.5,1.8125,1.75,1.7857,1.7692,1.7857,1.8,1.5556,1.5556,1.6667,1.6364,1.6364,1.6364,1.6667,1.6667,1.6667,1.6667,1.6667,2,2,2.5,2.5,2.5,2.5,2,2,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,1.5,1.6667,1.6667,1.5,1.6,1.6,1.6,1.6,1.5,1.8,1.8,1.8,1.8,1.8,1.8
"601908.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.25,2.2,2.2857,2.2857,2.2857,2.375,2.3333,2.4,2.75,2.5,2.6,2.6,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2.5,2.5,3,3,3,2.5,2,1,1,1.25,1.25,1.25,1.3,1.3,1.3,1.25,1.25,1.25,1.3333,1.3333,1.3333,1.3333,1.2,1.2,1.2857,1.1429,1.25,1.3,1.3333,1.2727,1.2222,1.25,1.25,1.25,1.25,1.1667,1.1429,1.1429,1,1.2,1.2,1.3333,1.3333,1.5,1.5,1.5,1.5
"601918.SH",NA,NA,NA,NA,1.5,1.5,1.5,1.5,2,1.8333,2.2,2.2,2,2,2,2,1.7143,1.6667,1.7,1.7273,1.75,1.6429,1.7647,1.7368,1.7619,1.7727,1.9615,2.125,2.0952,2.0952,2.2353,2.1538,2.25,2.25,2.2727,2.2727,2.2727,2.4444,2.3333,2.3,2.25,2.2222,2.2222,2.2,2.2,2.3,2.2143,2.1429,1.8667,1.8824,1.8889,1.7368,1.5556,1.5556,1.4118,1.375,1.4091,1.4286,1.5714,1.6364,1.5909,1.619,1.6923,1.5833,2.2,2.2143,2.2143,2.4615,2.6154,2.6154,2.7273,2.7273,2.6667,2.6667,2.6667,2.7273,2.8571,2.875,2.875,2.8889,2.75,2.5556,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2,2,1.8571,1.8571,2,2,2.5,2.5,2.6667,2.6667,2.5,2.5,NA,3,3,3,2.8,2.8,2.8,2.75,2.75,2.6667,NA,2,2,2,1.8,1.8,1.6667,1.6667,1.8,1.8,2,2
"601919.SH",1.6471,1.6111,1.6111,1.5833,1.7143,1.6875,1.4211,1.4348,1.4783,1.7083,1.9565,2.1818,2.3684,2.4706,2.5385,2.6364,2.8182,2.6364,2.6364,2.6364,2.6923,2.7333,2.6154,2.7059,2.7059,2.7059,2.75,2.6667,2.6,2.5385,2.5385,2.5385,2.3333,2.3333,2.0833,2.0833,2.3846,2.3077,2.3,2.2,2.25,2.2667,2.3571,2.4286,2.6429,2.6923,3.1,3.0909,3.1818,3.1818,3.3333,3.3,3.0833,3,3,3,3,3,3,3,3,2.9091,3,2.9091,2.9091,3,3,3,2.9,2.9,2.8571,2.8571,2.8571,2.75,2.8333,2.5,2.5556,2.6364,2.6364,2.6364,2.5833,2.5,2.5556,2.4286,2.4286,2.375,2.375,2.375,2.4286,2.375,2.375,2.375,2,2,2.1667,1.75,1.75,1.75,2,2,2,2,2,2,2.2,2.5,2.6667,2.6667,2.6667,2.3333,2,1.9,1.7273,1.8333,1.8333,1.4375,1.4375,1.4375,1.5294,1.5294,1.5263,1.5294
"601928.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8333,1.875,1.7778,1.7778,1.8182,1.8667,1.7857,1.75,1.6429,1.6429,1.6154,1.4545,1.4545,1.3,1.2222,1.2,1.2222,1.1818,1.1667,1.2308,1.2778,1.2778,1.2941,1.2941,1.2143,1.2,1.1818,1.2857,1.3,1.3,1.2857,1.3333,1.5,1.5714,1.6,2,1.6,1.5,1.5,1.4286,1.4,1.4,1.4286,1.5,1.5,1.5,1.625,1.625,1.625,1.625,1.625,1.625,2.25,2.25,2.25,2.25,2,2,2,1.75,1.75,1.75,1.75,1.75,2.5,2.5,2.5,2.5,1,1.5,1.3333,1.3333,1.3333,1.3333
"601929.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2.4,2.4,2.4,2.4,2.25,2.25,3,3,3,2.5,2,2,2,2,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,1.5,1.5,1.5,1.6667,1.6667,1.6667,2,2,2,2,2,2,2,2,2,2,2
"601933.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.6667,1.6667,1.8571,1.8824,1.8824,1.8889,1.8947,1.75,1.7368,1.6522,1.68,1.6154,1.6,1.5769,1.6538,2.2593,2.375,2.375,2.3333,2.25,2.28,2.1364,2.0909,2,2.1111,2.1111,2.125,2.0385,2,2.04,1.9615,1.96,2,2.0417,2,2,2,1.8846,1.8571,1.76,1.76,1.7083,1.7083,1.7083,1.7083,1.7273,1.7727,1.6667,1.6522,1.6111,1.6842,1.6111,1.5,1.5294,1.6471,1.6111,1.6,1.5714,1.5,1.4762,1.4,1.3333,1.4,1.4286,1.4118,1.3889,1.3684,1.5,1.5217,1.4783,1.4783,1.4783,1.4348,1.2941,1.4091,1.381,1.4091,1.381,1.3478,1.3478,1.3478,1.3684,1.3182,1.32,1.36
"601939.SH",1.6111,1.65,1.65,1.6667,1.75,1.7826,1.72,1.7692,1.8,1.8,2.069,2.069,2.1429,2.1786,2.2,2.1379,2.1154,2.2083,2,1.9259,1.8621,1.8,1.7813,1.7576,1.7879,1.8438,1.8148,1.7941,1.7917,1.7917,1.7917,1.8333,1.9,1.8571,1.8519,1.8,1.8,1.8,1.7692,1.9,1.9375,2.0769,2,2,1.9048,1.9,1.8636,1.8636,1.8636,1.8636,1.9333,1.8182,1.8261,1.8696,1.8696,1.8696,1.9583,2.125,2.2353,2.2353,2.2353,2.1176,2.0667,2.0476,2.0476,2,2,2,2,1.9375,1.9444,1.9375,1.9375,1.9375,1.9286,1.9375,2,2,2,2,2,2,2.1667,2.1667,2.1667,2.1538,2.1538,2.1429,2.0833,2,2,2,2,2,1.5714,1.6667,1.6667,1.6667,1.6667,2.2,2,2,2,1.8889,1.9375,1.9375,1.9286,1.9286,1.9286,1.9231,2,1.8333,1.8125,1.8125,1.8125,1.8235,1.7647,1.8,1.625,1.625,1.5625,1.5882
"601949.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2
"601952.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3333,1.2857,1.4444,1.4545,1.5
"601958.SH",NA,NA,NA,NA,1.5,1.6667,1.6,1.6667,2.1818,2.0833,2.25,2.3077,2.4,2.5714,2.6364,2.7,2.8,2.7,2.3333,2.1176,2.0952,2,2,2,2,2,1.9545,1.8636,1.8333,1.8333,1.75,1.5556,1.9091,2,2.1,2,2,1.9333,1.9091,1.8667,1.7857,1.8,1.8182,1.8182,2.0556,2.2143,2.3333,2.3333,2.3333,2.2667,2.3333,2.4,2.25,2.125,2.125,2.1429,2.3333,2.3,2.4545,2.5,2.5,2.1818,2,2.1818,2.1,2.1,2.1,2.2222,2.4444,2.3333,2.3333,2.3333,3,2.6667,2.6667,2.5,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.75,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,3,3,3,3,2.5,2.5,2.4,2.4,2.1667,2.2857,2.4,2.4,2.4,2.3333,2.3333,2.3333,2.4,2.4,2.4,2.4,2.2,2.2,2.25,2.2,2.2,2.2
"601965.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.6,1.5,1.5714,1.625,1.6,1.4,1.3333,1.4,1.4545,1.4444,1.4444,1.3636,1.3636,1.125,1,1.125,1.2222,1.3,1.3,1.3636,1.3636,1.3636,1.3636,1.4286,1.4444,1.3333,1.5,1.5,1.5,1.4,1.25,1.3333,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.6667,1.6667,1.6667,1.6667,1.75,1.75,1.75,1.6667,1.6667,1.5,1.5714,1.5714,1.5714,1.5,1.5,1.5,1.6667,1.6667,1.6667,1.6667,1.6667,1.5,1.5
"601966.SH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.8,1.8571,1.7778,1.7778,1.7,1.7,1.6
